15.49,16.0,cooling,OFF,OFF,1602636149.680131
15.64,16.0,defrosting,OFF,ON,1602636151.686593
15.45,16.0,cooling,OFF,OFF,1602636153.6932094
16.11,16.0,cooling,ON,OFF,1602636155.699674
15.4,16.0,defrosting,OFF,ON,1602636157.7060955
15.26,16.0,cooling,OFF,OFF,1602636159.7125878
15.31,16.0,defrosting,OFF,ON,1602636161.7171736
15.21,16.0,cooling,OFF,OFF,1602636163.7246113
15.26,16.0,defrosting,OFF,ON,1602636165.731182
15.21,16.0,cooling,OFF,OFF,1602636167.7376413
15.26,16.0,defrosting,OFF,ON,1602636169.7443426
15.07,16.0,cooling,OFF,OFF,1602636171.7509959
15.17,16.0,defrosting,OFF,ON,1602636173.7576187
14.98,16.0,cooling,OFF,OFF,1602636175.7642932
15.02,16.0,defrosting,OFF,ON,1602636177.7709632
14.98,16.0,cooling,OFF,OFF,1602636179.7773364
15.02,16.0,defrosting,OFF,ON,1602636181.7839682
14.88,16.0,cooling,OFF,OFF,1602636183.7906127
14.93,16.0,defrosting,OFF,ON,1602636185.7969618
14.88,16.0,cooling,OFF,OFF,1602636187.8035731
14.84,16.0,defrosting,OFF,ON,1602636189.810136
14.69,16.0,cooling,OFF,OFF,1602636191.81675
14.74,16.0,defrosting,OFF,ON,1602636193.8234508
15.4,16.0,cooling,OFF,OFF,1602636195.8301456
13.94,16.0,defrosting,OFF,ON,1602636197.8366907
14.55,16.0,cooling,OFF,OFF,1602636199.8433073
14.6,16.0,defrosting,OFF,ON,1602636201.8497024
14.6,16.0,cooling,OFF,OFF,1602636203.856331
14.6,16.0,defrosting,OFF,ON,1602636205.8629937
14.51,16.0,cooling,OFF,OFF,1602636207.8696527
14.51,16.0,defrosting,OFF,ON,1602636209.8762455
14.55,16.0,cooling,OFF,OFF,1602636211.8827333
14.46,16.0,defrosting,OFF,ON,1602636213.8894472
14.41,16.0,cooling,OFF,OFF,1602636215.8959188
14.41,16.0,defrosting,OFF,ON,1602636217.9023902
14.27,16.0,cooling,OFF,OFF,1602636219.9088979
14.37,16.0,defrosting,OFF,ON,1602636221.9155586
14.22,16.0,cooling,OFF,OFF,1602636223.9220932
14.27,16.0,defrosting,OFF,ON,1602636225.928716
14.18,16.0,cooling,OFF,OFF,1602636227.9358356
14.18,16.0,defrosting,OFF,ON,1602636229.9423487
14.13,16.0,cooling,OFF,OFF,1602636231.9471412
14.04,16.0,defrosting,OFF,ON,1602636233.953863
14.08,16.0,cooling,OFF,OFF,1602636235.9603584
14.08,16.0,defrosting,OFF,ON,1602636237.9669352
13.33,16.0,cooling,OFF,OFF,1602636239.973444
13.99,16.0,defrosting,OFF,ON,1602636241.9800656
13.99,16.0,cooling,OFF,OFF,1602636243.986714
14.04,16.0,defrosting,OFF,ON,1602636245.9932978
13.99,16.0,cooling,OFF,OFF,1602636247.9997916
13.85,16.0,defrosting,OFF,ON,1602636250.0063462
13.89,16.0,cooling,OFF,OFF,1602636252.0130095
13.89,16.0,defrosting,OFF,ON,1602636254.0195315
13.85,16.0,cooling,OFF,OFF,1602636256.0260065
13.8,16.0,defrosting,OFF,ON,1602636258.0325427
13.8,16.0,cooling,OFF,OFF,1602636260.0392168
13.71,16.0,defrosting,OFF,ON,1602636262.0457935
13.8,16.0,cooling,OFF,OFF,1602636264.052373
13.71,16.0,defrosting,OFF,ON,1602636266.0611665
13.57,16.0,cooling,OFF,OFF,1602636268.065684
13.61,16.0,defrosting,OFF,ON,1602636270.0722332
13.66,16.0,cooling,OFF,OFF,1602636272.0778644
13.61,16.0,defrosting,OFF,ON,1602636274.0845122
13.52,16.0,cooling,OFF,OFF,1602636276.0909705
13.61,16.0,defrosting,OFF,ON,1602636278.0974264
13.52,16.0,cooling,OFF,OFF,1602636280.1037264
13.42,16.0,defrosting,OFF,ON,1602636282.115381
13.38,16.0,cooling,OFF,OFF,1602636284.1218662
13.42,16.0,defrosting,OFF,ON,1602636286.1271641
13.42,16.0,cooling,OFF,OFF,1602636288.1337402
13.42,16.0,defrosting,OFF,ON,1602636290.140243
13.33,16.0,cooling,OFF,OFF,1602636292.1467402
13.33,16.0,defrosting,OFF,ON,1602636294.1576107
13.24,16.0,cooling,OFF,OFF,1602636296.1642513
12.48,16.0,defrosting,OFF,ON,1602636298.1708024
13.24,16.0,cooling,OFF,OFF,1602636300.1826975
13.28,16.0,defrosting,OFF,ON,1602636302.1896937
12.48,16.0,cooling,OFF,OFF,1602636304.1963363
13.19,16.0,defrosting,OFF,ON,1602636306.2077227
13.19,16.0,cooling,OFF,OFF,1602636308.2144482
13.09,16.0,defrosting,OFF,ON,1602636310.2211173
13.0,16.0,cooling,OFF,OFF,1602636312.2292354
13.0,16.0,defrosting,OFF,ON,1602636314.235744
13.05,16.0,cooling,OFF,OFF,1602636316.2423177
13.05,16.0,defrosting,OFF,ON,1602636318.2472935
13.0,16.0,cooling,OFF,OFF,1602636320.2539434
12.95,16.0,defrosting,OFF,ON,1602636322.2605445
12.86,16.0,cooling,OFF,OFF,1602636324.2671814
12.91,16.0,defrosting,OFF,ON,1602636326.2738097
12.81,16.0,cooling,OFF,OFF,1602636328.2804546
12.77,16.0,defrosting,OFF,ON,1602636330.2885199
12.86,16.0,cooling,OFF,OFF,1602636332.2953396
12.86,16.0,defrosting,OFF,ON,1602636334.3022597
12.86,16.0,cooling,OFF,OFF,1602636336.3091044
12.67,16.0,defrosting,OFF,ON,1602636338.3162072
12.72,16.0,cooling,OFF,OFF,1602636340.3237891
12.67,16.0,defrosting,OFF,ON,1602636342.3333182
12.67,16.0,cooling,OFF,OFF,1602636344.340376
12.62,16.0,defrosting,OFF,ON,1602636346.3471925
12.58,16.0,cooling,OFF,OFF,1602636348.35406
12.53,16.0,defrosting,OFF,ON,1602636350.361088
12.58,16.0,cooling,OFF,OFF,1602636352.3677006
12.48,16.0,defrosting,OFF,ON,1602636354.379279
12.48,16.0,cooling,OFF,OFF,1602636356.386129
12.48,16.0,defrosting,OFF,ON,1602636358.3968678
12.48,16.0,cooling,OFF,OFF,1602636360.4046
13.14,16.0,defrosting,OFF,ON,1602636362.4112556
11.68,16.0,cooling,OFF,OFF,1602636364.4178002
13.09,16.0,defrosting,OFF,ON,1602636366.4245026
12.29,16.0,cooling,OFF,OFF,1602636368.4299781
12.39,16.0,defrosting,OFF,ON,1602636370.4420156
12.34,16.0,cooling,OFF,OFF,1602636372.449115
12.39,16.0,defrosting,OFF,ON,1602636374.4558458
12.34,16.0,cooling,OFF,OFF,1602636376.4625614
12.29,16.0,defrosting,OFF,ON,1602636378.469377
12.29,16.0,cooling,OFF,OFF,1602636380.4760787
12.2,16.0,defrosting,OFF,ON,1602636382.4862506
12.2,16.0,cooling,OFF,OFF,1602636384.4932249
12.2,16.0,defrosting,OFF,ON,1602636386.4998877
12.2,16.0,cooling,OFF,OFF,1602636388.5101342
12.15,16.0,defrosting,OFF,ON,1602636390.5167582
12.01,16.0,cooling,OFF,OFF,1602636392.5234926
12.11,16.0,defrosting,OFF,ON,1602636394.530149
12.06,16.0,cooling,OFF,OFF,1602636396.5367234
12.11,16.0,defrosting,OFF,ON,1602636398.5434504
12.11,16.0,cooling,OFF,OFF,1602636400.5547044
11.97,16.0,defrosting,OFF,ON,1602636402.56141
11.92,16.0,cooling,OFF,OFF,1602636404.568079
11.92,16.0,defrosting,OFF,ON,1602636406.5748405
12.06,16.0,cooling,OFF,OFF,1602636408.5815127
11.82,16.0,defrosting,OFF,ON,1602636410.5881548
11.97,16.0,cooling,OFF,OFF,1602636412.5949066
11.82,16.0,defrosting,OFF,ON,1602636414.6015353
11.82,16.0,cooling,OFF,OFF,1602636416.6082048
11.87,16.0,defrosting,OFF,ON,1602636418.614939
11.82,16.0,cooling,OFF,OFF,1602636420.6215003
11.73,16.0,defrosting,OFF,ON,1602636422.6280782
11.73,16.0,cooling,OFF,OFF,1602636424.634826
11.68,16.0,defrosting,OFF,ON,1602636426.641434
10.98,16.0,cooling,OFF,OFF,1602636428.6480792
11.73,16.0,defrosting,OFF,ON,1602636430.658949
12.39,16.0,cooling,OFF,OFF,1602636432.6655164
11.54,16.0,defrosting,OFF,ON,1602636434.6721232
12.34,16.0,cooling,OFF,OFF,1602636436.6772864
11.73,16.0,defrosting,OFF,ON,1602636438.6840007
11.59,16.0,cooling,OFF,OFF,1602636440.6906686
11.54,16.0,defrosting,OFF,ON,1602636442.6972446
11.59,16.0,cooling,OFF,OFF,1602636444.7039766
11.54,16.0,defrosting,OFF,ON,1602636446.711173
11.54,16.0,cooling,OFF,OFF,1602636448.7214205
11.59,16.0,defrosting,OFF,ON,1602636450.7281408
11.49,16.0,cooling,OFF,OFF,1602636452.7348347
11.49,16.0,defrosting,OFF,ON,1602636454.741494
11.4,16.0,cooling,OFF,OFF,1602636456.7481015
11.49,16.0,defrosting,OFF,ON,1602636458.7548103
11.45,16.0,cooling,OFF,OFF,1602636460.7614453
11.45,16.0,defrosting,OFF,ON,1602636462.7681248
11.45,16.0,cooling,OFF,OFF,1602636464.7749193
11.31,16.0,defrosting,OFF,ON,1602636466.7815378
11.26,16.0,cooling,OFF,OFF,1602636468.788215
11.21,16.0,defrosting,OFF,ON,1602636470.7948573
11.26,16.0,cooling,OFF,OFF,1602636472.801798
11.35,16.0,defrosting,OFF,ON,1602636474.8073308
11.26,16.0,cooling,OFF,OFF,1602636476.814076
11.31,16.0,defrosting,OFF,ON,1602636478.8207204
11.17,16.0,cooling,OFF,OFF,1602636480.8273306
11.21,16.0,defrosting,OFF,ON,1602636482.8340442
11.07,16.0,cooling,OFF,OFF,1602636484.8407047
11.17,16.0,defrosting,OFF,ON,1602636486.8473961
11.21,16.0,cooling,OFF,OFF,1602636488.854062
11.26,16.0,defrosting,OFF,ON,1602636490.8607244
11.12,16.0,cooling,OFF,OFF,1602636492.8674445
11.12,16.0,defrosting,OFF,ON,1602636494.8742507
11.07,16.0,cooling,OFF,OFF,1602636496.8808804
11.07,16.0,defrosting,OFF,ON,1602636498.8874512
11.02,16.0,cooling,OFF,OFF,1602636500.8944945
10.98,16.0,defrosting,OFF,ON,1602636502.9011817
10.98,16.0,cooling,OFF,OFF,1602636504.907745
11.02,16.0,defrosting,OFF,ON,1602636506.9149535
10.98,16.0,cooling,OFF,OFF,1602636508.9215627
10.18,16.0,defrosting,OFF,ON,1602636510.927131
11.64,16.0,cooling,OFF,OFF,1602636512.9338012
10.98,16.0,defrosting,OFF,ON,1602636514.9404006
11.64,16.0,cooling,OFF,OFF,1602636516.9470832
10.88,16.0,defrosting,OFF,ON,1602636518.9538
10.74,16.0,cooling,OFF,OFF,1602636520.9603822
10.79,16.0,defrosting,OFF,ON,1602636522.9670439
10.88,16.0,cooling,OFF,OFF,1602636524.9737468
10.88,16.0,defrosting,OFF,ON,1602636526.9804459
10.79,16.0,cooling,OFF,OFF,1602636528.987037
10.79,16.0,defrosting,OFF,ON,1602636530.9937298
10.74,16.0,cooling,OFF,OFF,1602636533.0003438
10.74,16.0,defrosting,OFF,ON,1602636535.006921
10.84,16.0,cooling,OFF,OFF,1602636537.0136673
10.69,16.0,defrosting,OFF,ON,1602636539.0203335
10.65,16.0,cooling,OFF,OFF,1602636541.0269408
10.6,16.0,defrosting,OFF,ON,1602636543.033778
10.69,16.0,cooling,OFF,OFF,1602636545.0403578
10.6,16.0,defrosting,OFF,ON,1602636547.047018
10.6,16.0,cooling,OFF,OFF,1602636549.0536458
10.55,16.0,defrosting,OFF,ON,1602636551.060854
10.6,16.0,cooling,OFF,OFF,1602636553.068066
10.6,16.0,defrosting,OFF,ON,1602636555.0748115
10.55,16.0,cooling,OFF,OFF,1602636557.0814662
10.55,16.0,defrosting,OFF,ON,1602636559.0882134
10.55,16.0,cooling,OFF,OFF,1602636561.0949883
10.55,16.0,defrosting,OFF,ON,1602636563.1016073
10.46,16.0,cooling,OFF,OFF,1602636565.10821
10.37,16.0,defrosting,OFF,ON,1602636567.1149373
10.51,16.0,cooling,OFF,OFF,1602636569.1215408
10.51,16.0,defrosting,OFF,ON,1602636571.12812
10.32,16.0,cooling,OFF,OFF,1602636573.13486
10.41,16.0,defrosting,OFF,ON,1602636575.1415546
10.27,16.0,cooling,OFF,OFF,1602636577.1492841
10.41,16.0,defrosting,OFF,ON,1602636579.1602962
10.32,16.0,cooling,OFF,OFF,1602636581.166893
10.37,16.0,defrosting,OFF,ON,1602636583.173477
10.27,16.0,cooling,OFF,OFF,1602636585.1838865
10.32,16.0,defrosting,OFF,ON,1602636587.1904886
10.27,16.0,cooling,OFF,OFF,1602636589.1970372
9.42,16.0,defrosting,OFF,ON,1602636591.2189872
10.27,16.0,cooling,OFF,OFF,1602636593.2260857
10.22,16.0,defrosting,OFF,ON,1602636595.2326035
10.88,16.0,cooling,OFF,OFF,1602636597.239285
10.88,16.0,defrosting,OFF,ON,1602636599.2459052
10.79,16.0,cooling,OFF,OFF,1602636601.252405
10.79,16.0,defrosting,OFF,ON,1602636603.3030927
10.13,16.0,cooling,OFF,OFF,1602636605.3096306
9.42,16.0,defrosting,OFF,ON,1602636607.316225
10.13,16.0,cooling,OFF,OFF,1602636609.3264766
10.13,16.0,defrosting,OFF,ON,1602636611.334043
10.04,16.0,cooling,OFF,OFF,1602636613.3405776
10.08,16.0,defrosting,OFF,ON,1602636615.3470488
9.99,16.0,cooling,OFF,OFF,1602636617.3542495
9.99,16.0,defrosting,OFF,ON,1602636619.360624
9.89,16.0,cooling,OFF,OFF,1602636621.3716972
10.13,16.0,defrosting,OFF,ON,1602636623.3764126
10.04,16.0,cooling,OFF,OFF,1602636625.3830037
9.8,16.0,defrosting,OFF,ON,1602636627.3883393
9.8,16.0,cooling,OFF,OFF,1602636629.3949268
9.94,16.0,defrosting,OFF,ON,1602636631.4008079
9.85,16.0,cooling,OFF,OFF,1602636633.4116197
9.8,16.0,defrosting,OFF,ON,1602636635.41815
9.85,16.0,cooling,OFF,OFF,1602636637.4247496
9.75,16.0,defrosting,OFF,ON,1602636639.4312725
9.85,16.0,cooling,OFF,OFF,1602636641.4377284
9.8,16.0,defrosting,OFF,ON,1602636643.444299
9.89,16.0,cooling,OFF,OFF,1602636645.4507315
9.85,16.0,defrosting,OFF,ON,1602636647.4571745
9.71,16.0,cooling,OFF,OFF,1602636649.4636912
9.8,16.0,defrosting,OFF,ON,1602636651.470401
9.71,16.0,cooling,OFF,OFF,1602636653.4820743
9.71,16.0,defrosting,OFF,ON,1602636655.4889786
9.66,16.0,cooling,OFF,OFF,1602636657.4957862
9.66,16.0,defrosting,OFF,ON,1602636659.503054
9.66,16.0,cooling,OFF,OFF,1602636661.509331
9.71,16.0,defrosting,OFF,ON,1602636663.5187583
9.66,16.0,cooling,OFF,OFF,1602636665.5256033
9.71,16.0,defrosting,OFF,ON,1602636667.5323293
9.66,16.0,cooling,OFF,OFF,1602636669.538992
9.66,16.0,defrosting,OFF,ON,1602636671.54577
9.57,16.0,cooling,OFF,OFF,1602636673.5533013
9.57,16.0,defrosting,OFF,ON,1602636675.5599
9.57,16.0,cooling,OFF,OFF,1602636677.5664139
9.47,16.0,defrosting,OFF,ON,1602636679.5742264
9.61,16.0,cooling,OFF,OFF,1602636681.5860398
9.52,16.0,defrosting,OFF,ON,1602636683.5926979
